datetime;evaluatorName;evaluatorNote;lineupID;totalSelected;visualSelected;cbSelected;bothSelected;visualEntries;cbEntries
2017-03-20 17:12:30;evaluator5;CBRS_vs_VisualRS evaluation; 12110307171801 ;5;3;2;0;5,6,8;18,20
2017-03-20 17:13:41;evaluator5;CBRS_vs_VisualRS evaluation; 11400127100602 ;3;2;0;1;3,13;
2017-03-20 17:13:56;evaluator6;CBRS_vs_VisualRS evaluation; 10190205080208 ;4;4;0;0;1,4,5,7;
2017-03-20 17:14:57;evaluator5;CBRS_vs_VisualRS evaluation; 1010719161804 ;3;2;1;0;1,18;20
2017-03-20 17:15:43;evaluator6;CBRS_vs_VisualRS evaluation; 13270512150406 ;4;2;2;0;1,11;2,11
2017-03-20 17:15:56;evaluator5;CBRS_vs_VisualRS evaluation; 11020516160613 ;3;2;0;1;13,18;
2017-03-20 17:17:18;evaluator5;CBRS_vs_VisualRS evaluation; 9080719130107 ;3;3;0;0;5,17,18;
2017-03-20 17:17:54;evaluator6;CBRS_vs_VisualRS evaluation; 13190215170014 ;5;3;2;0;1,2,7;9,17
2017-03-20 17:18:27;evaluator5;CBRS_vs_VisualRS evaluation; 18580109170011 ;3;3;0;0;1,4,17;
2017-03-20 17:19:47;evaluator5;CBRS_vs_VisualRS evaluation; 10350228170012 ;3;2;1;0;15,16;20
2017-03-20 17:20:22;evaluator5;CBRS_vs_VisualRS evaluation; 11541231141909 ;3;2;1;0;5,20;20
2017-03-20 17:20:30;evaluator6;CBRS_vs_VisualRS evaluation; 13581007160707 ;4;1;3;0;3;6,9,19
2017-03-20 17:21:55;evaluator5;CBRS_vs_VisualRS evaluation; 9210822160706 ;3;1;2;0;12;7,11
2017-03-20 17:24:51;evaluator6;CBRS_vs_VisualRS evaluation; 12110307171801 ;5;3;2;0;5,7,11;1,11
2017-03-20 17:25:00;evaluator5;CBRS_vs_VisualRS evaluation; 13360622050020 ;3;2;1;0;4,14;5
2017-03-20 17:26:35;evaluator5;CBRS_vs_VisualRS evaluation; 10170223171706 ;3;1;2;0;1;5,7
2017-03-20 17:26:51;evaluator6;CBRS_vs_VisualRS evaluation; 11400127100602 ;3;2;1;0;4,20;6
2017-03-20 17:28:13;evaluator6;CBRS_vs_VisualRS evaluation; 11020516160613 ;5;3;1;1;5,7,13;3
2017-03-20 17:29:56;evaluator6;CBRS_vs_VisualRS evaluation; 1010719161804 ;4;2;0;2;3,9;
2017-03-20 17:32:42;evaluator6;CBRS_vs_VisualRS evaluation; 9080719130107 ;3;2;1;0;5,19;6
2017-03-20 17:34:44;evaluator6;CBRS_vs_VisualRS evaluation; 10350228170012 ;5;3;2;0;3,15,17;7,20
2017-03-20 17:36:12;evaluator6;CBRS_vs_VisualRS evaluation; 18580109170011 ;5;1;4;0;2;1,9,14,20
2017-03-20 17:37:28;evaluator6;CBRS_vs_VisualRS evaluation; 11541231141909 ;8;5;1;2;2,3,5,6,7;6
2017-03-20 17:39:05;evaluator6;CBRS_vs_VisualRS evaluation; 9210822160706 ;6;4;2;0;3,12,15,20;1,7
2017-03-20 17:41:15;evaluator6;CBRS_vs_VisualRS evaluation; 13360622050020 ;5;2;3;0;4,10;4,11,15
2017-03-20 17:42:34;evaluator6;CBRS_vs_VisualRS evaluation; 10170223171706 ;7;7;0;0;1,6,9,10,12,13,14;
2017-03-21 21:35:43;evaluator7;CBRS_vs_VisualRS evaluation; 15231113090113 ;3;1;2;0;9;2,8
2017-03-21 21:37:06;evaluator7;CBRS_vs_VisualRS evaluation; 13060228170612 ;4;4;0;0;1,13,14,16;
2017-03-21 21:40:30;evaluator7;CBRS_vs_VisualRS evaluation; 15080306171805 ;3;3;0;0;6,7,8;
2017-03-21 21:41:38;evaluator7;CBRS_vs_VisualRS evaluation; 8480518040305 ;4;1;3;0;10;2,8,11
2017-03-21 21:43:14;evaluator7;CBRS_vs_VisualRS evaluation; 20211230160407 ;5;1;4;0;1;4,9,12,18
2017-03-21 21:44:56;evaluator7;CBRS_vs_VisualRS evaluation; 14330309160116 ;3;1;2;0;10;6,7
2017-03-21 21:46:40;evaluator7;CBRS_vs_VisualRS evaluation; 11180117171805 ;4;3;1;0;1,6,19;14
